# Spectral_Value,Flux_Value,Flux_Accuracy_StatErrLow,Flux_Accuracy_StatErrHigh,Flux_Accuracy_Quality
7334.5043500196,26.565299987793,0.483004987239838,0.483004987239838,0
7336.19338350906,27.0923004150391,0.476677685976028,0.476677685976028,0
7337.88280595583,27.4829998016357,0.495668202638626,0.495668202638626,0
7339.57261744947,27.4253005981445,0.499591737985611,0.499591737985611,0
7341.26281807961,27.4766006469727,0.481403350830078,0.481403350830078,0
7342.95340793583,27.5983009338379,0.475567579269409,0.475567579269409,0
7344.64438710776,27.0837993621826,0.469430804252625,0.469430804252625,0
7346.33575568507,27.1912994384766,0.466426849365234,0.466426849365234,0
7348.02751375742,26.9521007537842,0.46739587187767,0.46739587187767,0
7349.71966141453,27.0746002197266,0.472252190113068,0.472252190113068,0
7351.41219874609,27.5750999450684,0.492161989212036,0.492161989212036,0
7353.10512584186,26.1537990570068,0.488138347864151,0.488138347864151,0
7354.79844279158,26.3894996643066,0.496081560850143,0.496081560850143,0
7356.49214968503,26.1667995452881,0.482873767614365,0.482873767614365,0
